n°;clasificacion;cuartel;fecha;dia;hora;delito;direccion;dir_com;latitud;longitud;este (x);norte (y);cuadrante;dir_com
85;;1RA. COM. LOS ANGELES;01-03-2022;MARTES;20:10;ROBO DE ACCESORIOS DE VEHICULOS;549-LAUTARO  Los Ángeles  Biobio  Chile;;-37.46991;-72.35291;734092.1779;5849705.925;1;
86;;1RA. COM. LOS ANGELES;03-03-2022;JUEVES;7:45;ROBO DE ACCESORIOS DE VEHICULOS;796-COMANDANTE LUIS SOTO  Los Ángeles  Biobio  Chile;;-37.4637741;-72.3379347;735436.008;5850349.486;3;
87;;1RA. COM. LOS ANGELES;28-02-2022;LUNES;14:10;ROBO DE ACCESORIOS DE VEHICULOS;831-AVENIDA ALEMANIA  Los Ángeles  Biobio  Chile;;-37.4685463;-72.3365241;735545.8004;5849816.369;3;
88;;SCOM. CB 1RO. R. SEPULVEDA P.;28-02-2022;LUNES;20:35;ROBO DE ACCESORIOS DE VEHICULOS;2093-AGUAS CALIENTES FRENTE  Los Ángeles  Biobio  Chile;;-37.4659666;-72.3789911;731797.4901;5850208.097;5;
89;;1RA. COM. LOS ANGELES;04-03-2022;VIERNES;11:00;ROBO DE ACCESORIOS DE VEHICULOS;573-FREIRE  Los Ángeles  Biobio  Chile;;-37.4790353;-72.3504329;734282.7663;5848687.096;1;
90;;TENENCIA CENTENARIO;02-03-2022;MIERCOLES;2:00;ROBO DE ACCESORIOS DE VEHICULOS;3-COLOMBIA  Los Ángeles  Biobio  Chile;;-37.4630987;-72.3443168;734873.5765;5850440.385;6;
91;;TENENCIA CENTENARIO;06-03-2022;DOMINGO;21:35;ROBO DE ACCESORIOS DE VEHICULOS;1352-ORIENTE  Los Ángeles  Biobio  Chile;;-37.4545918;-72.3370618;735542.0477;5851366.293;6;
92;;1RA. COM. LOS ANGELES;06-03-2022;DOMINGO;11:15;ROBO DE ACCESORIOS DE VEHICULOS;1-CAMINO A SAN ANTONIO  Los Ángeles  Biobio  Chile;;-37.4738369;-72.3690981;732648.1564;5849310.294;3;
93;;SCOM. CB 1RO. R. SEPULVEDA P.;28-02-2022;LUNES;21:44;ROBO DE ACCESORIOS DE VEHICULOS;480-AVENIDA SALTO DEL LAJA  Los Ángeles  Biobio  Chile;;-37.4830789;-72.3699983;732539.8725;5848286.909;14;
94;;SCOM. CB 1RO. R. SEPULVEDA P.;01-03-2022;MARTES;16:25;ROBO DE ACCESORIOS DE VEHICULOS;480-EX RUTA 5 SUR  Los Ángeles  Biobio  Chile;;-37.2677254;-72.3545286;734578.228;5872146.694;14;
95;;1RA. COM. LOS ANGELES;28-02-2022;LUNES;3:00;ROBO DE VEHICULO MOTORIZADO;224-PJE QUINTERO V. STA MARIA  Los Ángeles  Biobio  Chile;;-37.4725642;-72.3769193;731960.3449;5849470.839;2;
96;;1RA. COM. LOS ANGELES;28-02-2022;LUNES;4:00;ROBO DE VEHICULO MOTORIZADO;7825-AVDA LAS INDUSTRIA  Los Ángeles  Biobio  Chile;;-37.4541943;-72.3266485;736464.552;5851384.296;3;
97;;1RA. COM. LOS ANGELES;28-02-2022;LUNES;15:30;ROBO DE VEHICULO MOTORIZADO;284-AV RICARDO VICUÑA  Los Ángeles  Biobio  Chile;;-37.4738253;-72.3490571;734420.7292;5849261.839;1;
98;;1RA. COM. LOS ANGELES;06-03-2022;DOMINGO;7:00;ROBO DE VEHICULO MOTORIZADO;1690-NUBLE  Los Ángeles  Biobio  Chile;;-37.4709456;-72.3752098;732116.5541;5849646.244;2;
99;;SCOM. PAILLIHUE;06-03-2022;DOMINGO;20:00;ROBO DE VEHICULO MOTORIZADO;NUEVA ESPERANZA & PJE. AURORA  Los Ángeles  Biobio  Chile;;-37.4973347;-72.3307803;735963.2175;5846607.217;4;
100;;SCOM. CB 1RO. R. SEPULVEDA P.;02-03-2022;MIERCOLES;13:00;ROBO DE VEHICULO MOTORIZADO;EX RUTA 5 SUR KM 481 & SECTOR EL PINAR S/NRO.  Los Ángeles  Biobio  Chile;;-37.243102;-72.365431;733687.4256;5874906.142;15;
101;;SCOM. PAILLIHUE;28-02-2022;LUNES;15:00;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;VICUÑA MACKENNA & OHIGGINS  Los Ángeles  Biobio  Chile;;-37.4812763;-72.3517679;734157.7002;5848441.728;4;
102;;SCOM. PAILLIHUE;28-02-2022;LUNES;6:00;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;1440-MONTEAGUILA 2 ORIENTE  Los Ángeles  Biobio  Chile;;-37.4815783;-72.3338194;735744.0625;5848363.387;4;
103;;SCOM. CB 1RO. R. SEPULVEDA P.;03-03-2022;JUEVES;6:30;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;1348-COSTANERA QUILQUE NORTE  Los Ángeles  Biobio  Chile;;-37.4610963;-72.3354597;735663.3529;5850640.457;13;
104;;TENENCIA CENTENARIO;03-03-2022;JUEVES;6:30;ROBO EN LUGAR HABITADO O DESTINADO A LA HAB.;547-OROMPELLO  Los Ángeles  Biobio  Chile;;-37.4604136;-72.3543869;733991.1663;5850763.442;6;
